team,filename,rocket_name,parse_status,motor_designation,motor_found,or_apogee_ft,diameter_in,length_in,mass_found,mass_source,mass_lb,cg_found,cg_in,cp_found,cp_in,stability_cal,stability_category,tier_run,our_apogee_ft,apogee_diff_pct,hazard_zone_ft,motor_class,total_impulse_ns,is_multistage,stage_count,nosecone_type,barrowman_cd,cd_used,override_applied,missing_fields,warnings
005,005_ORK_PR2.ork,005,ok,L1420R,yes,11199,4.09,91.31,yes,databranch_t0,29.725,yes,57.64,yes,68.32,2.610,stable,tier3,10810,-3.5,11315,L,4590.6,no,1,haack,0.5069,barrowman:0.5069,no,,
043,043_UniversityMassachusettsAmherst_PR2_2026.ork,043,ok,M1845NT,yes,8497,6.11,123.01,yes,databranch_t0,47.307,yes,77.80,yes,93.21,2.522,stable,tier3,9061,6.6,8726,M,8066.3,no,1,haack,0.6700,barrowman:0.6700,yes,,override: cd [cd_override: Barrowman 0.4511 underestimates. 2-iter correction = 0.67.]
100,100_ORK_PR2.ork,3.8,ok,M2500T,yes,10356,6.17,115.27,yes,databranch_t0,58.158,yes,76.77,yes,21.65,-8.933,unstable,tier3,12010,16.0,8431,M,9464.3,no,1,ogive,0.3948,barrowman:0.3948,yes,,"override: motor [motor_designation: OR XML has 'M2500T', we matched '9994M3400-P']"
101,101_ORK_PR2.ork,101_ORK_PR2,ok,M1780NT,yes,8277,5.00,89.50,yes,databranch_t0,38.052,yes,55.04,yes,70.90,3.172,stable,tier3,9290,12.2,9734,M,5592.2,no,1,conical,0.5253,barrowman:0.5253,no,,
104,104_ORK_PR2.ork,Havtek OpenRocket IREC,ok,M1850W,yes,10603,5.08,107.87,yes,databranch_t0,49.249,yes,67.44,yes,10.24,-11.264,unstable,tier3,12148,14.6,8806,M,7791.4,no,1,haack,0.4430,barrowman:0.4430,no,,
13,13_ORK_PR2.ork,13_ORK_PR2,ok,M1850W,yes,10357,5.87,104.37,yes,databranch_t0,49.454,yes,63.98,yes,77.35,2.279,stable,tier3,10809,4.4,11243,M,7791.4,no,1,ogive,0.4347,barrowman:0.4347,no,,
15,15_ORK_PR2.ork,Team 15_Aetherion_Progress Report 2,ok,M2500T,yes,10219,6.17,105.92,yes,databranch_t0,65.669,yes,70.16,yes,85.62,2.505,stable,tier3,10070,-1.5,11007,M,9464.3,no,1,haack,0.4586,barrowman:0.4586,no,,
18,18_ORK_PR2.ork,Rocket,ok,M2500T,yes,9576,6.17,170.50,yes,component_sum+geom,51.189,no,,yes,24.33,,,tier3,9016,-5.9,9903,M,9464.3,no,1,haack,0.5377,barrowman:0.5377,no,,
1,1_ORK_PR2.ork,1_ORK_PR2,ok,HP-L1000W,yes,9978,4.00,71.46,yes,databranch_t0,15.432,yes,59.17,yes,8.53,-12.660,unstable,tier3,10699,7.2,6530,L,2702.1,no,1,ogive,0.3792,barrowman:0.3792,no,,
201,201_ORK_PR2.ork,Rocket,ok,O5500X-PS,yes,27281,6.13,111.25,yes,databranch_t0,83.449,yes,75.08,yes,86.93,1.934,stable,tier3,24076,-11.7,22664,O,21395.4,no,1,ogive,0.4619,barrowman:0.4619,no,,
2025,2025-2026_Comp_Rocket_V8.ork,2025-2026_Comp_Rocket_V8,ok,M6000ST,yes,9937,6.00,116.00,yes,databranch_t0,59.582,yes,78.74,yes,16.67,-10.346,unstable,tier3,11030,11.0,7514,M,9604.6,no,1,haack,0.4800,barrowman:0.4800,yes,,"override: motor, cd [motor_designation: OR XML has 'M6000ST', we matched 'M1800FJ'. cd_override: Mach 1.041 transonic â€” Barrowman CD 0.40 underestimates drag. Correction: 0.3980 Ã— (11983/9937) = 0.48.]"
2026,2026_IREC (recent).ork,66_University of Arizona 2026 IREC Vehicle,ok,M1939W,yes,11440,6.26,115.50,yes,databranch_t0,55.594,yes,79.21,yes,93.08,2.215,stable,tier3,12292,7.4,12153,N,10240.9,no,1,haack,0.4855,barrowman:0.4855,no,,
202,202_ORK_PR2.ork,202_ORK_PR2,ok,O5500X-PS,yes,31266,5.15,117.00,yes,databranch_t0,79.073,yes,72.01,yes,86.87,2.886,stable,tier3,28816,-7.8,27396,O,21395.4,no,1,ogive,0.5241,barrowman:0.5241,yes,,"override: motor [motor_designation: OR XML has 'O5500X-PS', we matched 'M4500ST']"
205,205_ORK_PR2.ork,205,ok,O5500X-PS,yes,32135,5.15,123.50,yes,override,55.306,no,,yes,95.57,,,tier3,31095,-3.2,24483,O,21395.4,no,1,haack,0.5926,barrowman:0.5926,yes,,
206,206_ORK_PR2.ork,206,ok,21062O3400-P,yes,27950,6.01,95.14,yes,component_sum+geom,33.371,no,,yes,20.03,,,tier3,29677,6.2,26568,O,20961.8,no,1,haack,0.4000,barrowman:0.4000,yes,,"override: motor, cd [motor_designation confirmed correct (O3400-P). cd_override: rocket reaches Mach 1.732 â€” Barrowman CD 0.33 (subsonic) underestimates drag at supersonic speeds. Effective CD correction: 0.3293 Ã— (34084/27950) = 0.40. Mass (14.68 kg dry + 16.84 kg O3400 = 31.52 kg) is correct; error is purely CD.]"
207,207_ORK_PR2.ork,207 - Aconcagua,ok,O5500X-PS,yes,30562,5.94,107.48,yes,databranch_t0,72.177,yes,65.00,yes,85.27,3.410,stable,tier3,27875,-8.8,24879,O,21395.4,no,1,haack,0.4475,barrowman:0.4475,no,,
208,208_ORK_PR2.ork,Rocket,ok,N4000W-PS,yes,23314,5.15,147.60,yes,component_sum+geom,35.470,no,,yes,119.77,,,tier3,20760,-11.0,18790,N,18278.3,no,1,ogive,0.7029,barrowman:0.7029,no,,
212,212_ORK_PR2.ork,212-VoltaROCKET,ok,O5500X-PS,yes,30790,4.96,125.59,yes,databranch_t0,81.666,yes,82.13,yes,101.41,3.887,stable,tier3,25735,-16.4,24305,O,21395.4,no,1,haack,0.6386,barrowman:0.6386,no,,
214,214_ORK_PR2.ork,214_NittanyRocketLabs,ok,N5500LW,yes,4908,6.12,144.37,yes,databranch_t0,50.318,yes,49.96,yes,114.92,,,tier1_multistage_or,,0.0,1227,N,19137.7,yes,3,haack,0.5525,n/a,no,,"MULTI-STAGE (3 stages, motors: L2200G): using OR stored apogee (full multi-stage sim)"
216,216_ORK_PR2.ork,Rocket,ok,O5500X-PS,yes,29162,6.08,133.60,yes,component_sum+geom,29.576,no,,yes,102.80,,,tier3,25229,-13.5,21105,O,21395.4,no,1,haack,0.5126,barrowman:0.5126,no,,
218,218_ORK_PR2.ork,218_ORK_PR2,ok,O5500X-PS,yes,30450,5.94,112.80,yes,databranch_t0,65.129,yes,86.85,yes,19.82,-11.276,unstable,tier3,33192,9.0,15066,O,21395.4,no,1,haack,0.3846,barrowman:0.3846,no,,
21,21_ORK_PR2.ork,21,ok,M2500T,yes,12534,5.15,108.84,yes,component_sum+geom,31.472,no,,yes,71.48,,,tier3,13505,7.7,13231,M,9464.3,no,1,ogive,0.5709,barrowman:0.5709,no,,
22,22_ORK_PR2.ork,22,ok,M2500T,yes,10477,6.15,130.00,yes,databranch_t0,56.061,yes,83.27,yes,102.22,3.082,stable,tier3,11208,7.0,11350,M,9464.3,no,1,ogive,0.4923,barrowman:0.4923,no,,
23,23_ORK_PR2.ork,first,ok,M2500T,yes,9905,6.46,101.57,yes,component_sum+geom,33.946,no,,yes,86.11,,,tier3,11560,16.7,11346,M,9464.3,no,1,haack,0.4454,barrowman:0.4454,no,,
28,28_ORK_PR2.ork,Serhat ,ok,M1939W,yes,11643,5.91,108.27,yes,databranch_t0,59.386,yes,72.76,yes,89.53,2.840,stable,tier3,12443,6.9,12876,N,10240.9,no,1,haack,0.4865,barrowman:0.4865,no,,
29,29_ORK_PR2.ork,29,ok,M2500T-S,no,10045,6.26,99.53,yes,component_sum+geom,51.137,no,,yes,75.92,,,tier1_no_motor,,,2511,,,no,1,haack,0.4046,n/a,no,motor,
2,2_13_25_FAU_Rocket.ork,Rocket,ok,M2500T,yes,10098,6.20,112.31,yes,databranch_t0,62.823,yes,76.81,yes,22.87,-8.699,unstable,tier3,11455,13.4,8685,M,9464.3,no,1,haack,0.3650,barrowman:0.3650,no,,
2,2_ORK_PR2.ork,Team 2,ok,HP-L1000W,yes,6481,4.00,100.23,yes,databranch_t0,22.924,yes,58.27,yes,14.78,-10.872,unstable,tier3,7047,8.7,5501,L,2702.1,no,1,haack,0.4924,barrowman:0.4924,no,,
301,301_ORK_PR2.ork,301,ok,M2285,no,10160,6.17,129.00,yes,databranch_t0,59.487,yes,88.07,yes,22.00,,,tier1_no_motor,,,2540,,,no,1,ogive,0.4169,n/a,no,motor,
302,302_ORK_PR2.ork,302,ok,N3638,no,11005,6.15,128.50,yes,databranch_t0,71.692,yes,86.85,yes,20.00,,,tier1_no_motor,,,2751,,,no,1,haack,0.4207,n/a,no,motor,
306,306_ORK_PR2.ork,Anubis - Final,ok,N3835,no,11684,6.17,141.50,yes,databranch_t0,74.948,yes,96.42,yes,21.33,,,tier1_no_motor,,,2921,,,no,1,ogive,0.4557,n/a,no,motor,
308,308_ORK_PR2.ork,308,ok,M3091,no,10358,6.12,120.00,yes,databranch_t0,51.339,yes,79.84,yes,90.44,,,tier1_no_motor,,,2589,,,no,1,haack,0.4518,n/a,no,motor,
311,311_ORK_PR2.ork,311_ORK_PR2,ok,M2118,no,10173,6.17,143.16,yes,databranch_t0,57.080,yes,104.37,yes,113.49,,,tier1_no_motor,,,2543,,,no,1,ogive,0.5124,n/a,no,motor,
317,317_ORK_PR2.ork,317,ok,L1177,no,9074,6.13,140.00,yes,databranch_t0,75.610,yes,89.96,yes,105.55,,,tier1_no_motor,,,2269,,,no,1,haack,0.5520,n/a,no,motor,
318,318_ORK_PR2.ork,Pionner I,ok,L980,no,9985,4.02,74.80,yes,databranch_t0,28.565,yes,44.96,yes,55.33,,,tier1_no_motor,,,2496,,,no,1,ogive,0.4604,n/a,no,motor,
31,31_IREC_2025_26 (1).ork,Rocket,ok,M2400T,yes,10767,6.17,112.33,yes,component_sum,35.152,no,,yes,89.54,,,tier3,9842,-8.6,10185,M,7541.1,no,1,haack,0.4470,barrowman:0.4470,no,,
31,31_ORK_PR2.ork,Rocket,ok,L2200G,yes,11038,4.52,113.75,yes,component_sum+geom,18.823,no,,yes,8.50,,,tier3,11075,0.3,10836,L,5097.6,no,1,ogive,0.5185,barrowman:0.5185,yes,,"override: motor [motor_designation: OR XML has 'L2200G', we matched 'K2050ST']"
37,37_ORK_PR2.ork,Team 37,ok,M2500T,yes,11052,6.14,136.00,yes,databranch_t0,60.127,yes,89.49,yes,109.57,3.270,stable,tier3,10307,-6.7,10688,M,9464.3,no,1,haack,0.5286,barrowman:0.5286,no,,
401,401_ORK_PR2.ork,ORK Single Sim,ok,O4597,no,26745,6.12,119.54,yes,databranch_t0,111.250,yes,80.59,yes,21.65,,,tier1_no_motor,,,6686,,,no,1,haack,0.3922,n/a,no,motor,
402,402_ORK_PR2.ork,402_ORK_PR2,ok,O4350-WY623-I26a-T,no,34121,6.23,162.50,yes,component_sum+geom,61.192,no,,yes,134.36,,,tier1_no_motor,,,8530,,,no,1,haack,0.6196,n/a,no,motor,
403,403_ORK_PR2.ork,403_ORK_PR2,ok,O4324,no,31005,6.13,139.19,yes,component_sum,68.126,no,,yes,108.31,,,tier1_no_motor,,,7751,,,no,1,haack,0.5396,n/a,no,motor,
404,404_ORK_PR2.ork,404,ok,O5507,no,,6.17,148.00,yes,databranch_t0,129.305,yes,99.76,yes,22.00,,,skipped_no_motor_no_apogee,,,,,,no,1,haack,0.4740,,no,motor,
406,406_ORK_PR2.ork,Team_406,ok,O4778,no,,6.12,126.60,yes,databranch_t0,125.178,yes,88.23,yes,13.33,,,skipped_no_motor_no_apogee,,,,,,no,1,ogive,0.4306,,no,motor,
407,407_ORK_PR2.ork,Comp rocket 2026,ok,O6535,no,31806,6.17,141.00,yes,databranch_t0,125.231,yes,100.79,yes,114.00,,,tier1_no_motor,,,7952,,,no,1,haack,0.5742,n/a,no,motor,
40,40_ORK_PR2.ork,Team 40 (Old Dominion University),ok,M1845NT,yes,10859,5.16,96.00,yes,databranch_t0,50.640,yes,63.66,yes,13.33,-9.754,unstable,tier3,12968,19.4,9741,M,8066.3,no,1,ogive,0.3871,barrowman:0.3871,no,,
42,42_ORK_PR2.ork,42,ok,M2500T,yes,10618,6.00,112.00,yes,component_sum+geom,35.999,no,,yes,5.33,,,tier3,12670,19.3,12978,M,9464.3,no,1,haack,0.4102,barrowman:0.4102,no,,
44,44_ORK_PR2.ork,Rocket,ok,M1800FJ,yes,11184,5.15,89.00,yes,databranch_t0,53.649,yes,51.73,yes,13.33,-7.456,unstable,tier3,13059,16.8,10001,M,8212.7,no,1,ogive,0.3631,barrowman:0.3631,no,,
47,47_ORK_PR2.ork,Rocket,ok,N2000W,yes,13301,6.17,130.81,yes,databranch_t0,72.576,yes,84.41,yes,107.29,3.708,stable,tier3,13404,0.8,13660,N,13060.9,no,1,haack,0.5276,barrowman:0.5276,yes,,"override: motor [motor_designation: Motor designation differs â€” OR XML has ""N2000W"", we matched ""N3300R""]"
48,48_ORK_PR2.ork,Team48_ORK_PR2,ok,L2500ST,yes,11115,4.06,77.88,yes,component_sum+geom,19.495,no,,yes,10.67,,,tier3,11952,7.5,12838,L,4671.8,no,1,haack,0.3971,barrowman:0.3971,no,,
49,49_ORK_PR2.ork,Team 49,ok,M2400T,yes,10657,5.15,106.50,yes,databranch_t0,49.231,yes,72.17,yes,88.17,3.107,stable,tier3,10741,0.8,11328,M,7541.1,no,1,ogive,0.5301,barrowman:0.5301,no,,
502,502_OPK_PR2.ork,IREC 2026,ok,O5500X-PS,yes,31607,5.83,185.83,yes,component_sum+geom,77.655,no,,yes,153.93,,,tier1_multistage_or,,0.0,7902,O,21395.4,yes,2,haack,0.7384,n/a,yes,,"override: motor [motor_designation: Motor designation differs â€” OR XML has ""O5500X-PS"", we matched ""M1939W""] | MULTI-STAGE (2 stages, motors: M1939W / O5500X-PS): using OR stored apogee (full multi-stage sim)"
52,52_ORK_PR2.ork,Rocket,ok,M2500T,yes,11081,6.10,114.57,yes,databranch_t0,55.228,yes,74.25,yes,88.80,2.384,stable,tier3,11717,5.7,11949,M,9464.3,no,1,ellipsoid,0.4538,barrowman:0.4538,yes,,"override: nosecone_type [nosecone_type: OR XML says ""ellipsoid"", we used ""ogive""]"
54,54_ORK_PR2.ork,Team 54,ok,M2500T,yes,11298,6.06,112.80,yes,component_sum+geom,32.819,no,,yes,83.11,,,tier3,12622,11.7,12482,M,9464.3,no,1,haack,0.4351,barrowman:0.4351,no,,
602,602_ORK_PR2.ork,602_ORK_PR2,ok,17790N4100-P,yes,44948,4.02,205.00,yes,databranch_t0,88.948,yes,117.56,yes,159.32,,,tier1_multistage_or,,0.0,11237,N,17734.7,yes,2,haack,1.1078,n/a,yes,,"override: motor [motor_designation: Motor designation differs â€” OR XML has ""17790N4100-P"", we matched ""8429M2020-P""] | MULTI-STAGE (2 stages, motors: 8429M2020-P / 17790N4100-P): using OR stored apogee (full multi-stage sim)"
604,604_ORK_PR2.ork,Rocket,ok,O5500X-PS,yes,43668,5.17,224.50,yes,databranch_t0,131.689,yes,129.33,yes,180.33,,,tier1_multistage_or,,0.0,10917,O,21395.4,yes,2,ogive,1.0052,n/a,yes,,"override: motor [motor_designation: Motor designation differs â€” OR XML has ""O5500X-PS"", we matched ""N4000W-PS""] | MULTI-STAGE (2 stages, motors: N4000W-PS / O5500X-PS): using OR stored apogee (full multi-stage sim)"
62,62_ORK_PR2.ork,Rocket,ok,M2500T,yes,10230,6.00,120.00,yes,databranch_t0,53.248,yes,77.17,yes,93.81,2.774,stable,tier3,11849,15.8,11787,M,9464.3,no,1,ogive,0.4950,barrowman:0.4950,no,,
67,67_ORK_PR2.ork,Rocket,ok,M2000R,yes,9783,6.17,121.87,yes,databranch_t0,59.450,yes,81.65,yes,100.62,3.072,stable,tier3,10089,3.1,10566,M,9116.6,no,1,haack,0.5131,barrowman:0.5131,no,,
6,6_ORK_PR2.ork,QUANTUM ROCKET,ok,NEW-TFM1850W,no,10320,5.12,110.24,yes,databranch_t0,53.843,yes,66.69,yes,81.29,,,tier1_no_motor,,,2580,,,no,1,parabolic,0.5479,n/a,no,motor,
703,703_ORK_PR2.ork,Rocket,ok,Khoas_CDR,no,12045,6.17,171.11,yes,databranch_t0,115.967,yes,113.15,yes,20.00,,,tier1_no_motor,,,3011,,,no,1,haack,0.5492,n/a,no,motor,
711,711_ORK_PR2 (1).ork,711,ok,M560,no,9648,5.47,88.98,yes,databranch_t0,51.163,yes,53.62,yes,9.19,,,tier1_no_motor,,,2412,,,no,1,ogive,0.3558,n/a,no,motor,
711,711_ORK_PR2.ork,711,ok,M560,no,9648,5.47,88.98,yes,databranch_t0,51.163,yes,53.62,yes,9.19,,,tier1_no_motor,,,2412,,,no,1,ogive,0.3558,n/a,no,motor,
75,75_ORK_PR2.ork,75_ORK_PR2,ok,M1850W,yes,11538,6.12,101.00,yes,databranch_t0,42.479,yes,60.79,yes,74.23,2.197,stable,tier3,11470,-0.6,11051,M,7791.4,no,1,ogive,0.4349,barrowman:0.4349,no,,
76,76_ORK_PR2.ork,Rocket,ok,M2500T,yes,10151,6.17,123.00,yes,databranch_t0,64.941,yes,81.02,yes,24.00,-9.242,unstable,tier3,10774,6.1,8278,M,9464.3,no,1,ogive,0.3952,barrowman:0.3952,no,,
79,79_ORK_PR2.ork,79,ok,8429M2020-P,yes,10119,6.17,127.87,yes,databranch_t0,52.472,yes,77.01,yes,88.76,1.904,stable,tier3,10590,4.6,10826,M,8428.7,no,1,ogive,0.4650,barrowman:0.4650,no,,
7,7_CukurovaUniversity_Progress_Report2.ork,Rocket,ok,M1850W,yes,10196,5.51,106.30,yes,databranch_t0,48.208,yes,71.46,yes,86.19,2.674,stable,tier3,11186,9.7,11546,M,7791.4,no,1,haack,0.4769,barrowman:0.4769,no,,
81,81_ORK_PR2.ork,Rocket,ok,M2500T,yes,11239,5.15,112.25,yes,databranch_t0,64.342,yes,74.80,yes,87.55,2.475,stable,tier3,11148,-0.8,12358,M,9464.3,no,1,haack,0.5310,barrowman:0.5310,no,,
84,84_ORK_PR2.ork,IREC Team 84,ok,M1315W,yes,10516,5.15,104.15,yes,override,10.780,no,,yes,79.63,,,tier3,11480,9.2,6985,M,6545.1,no,1,haack,0.4880,barrowman:0.4880,yes,,"override: motor [motor_designation: OR XML has 'M1315W'. mass_lb locked to <mass>-only sum (10.78lb) â€” <overridemass> elements are replacement overrides that double-count with parent <mass> elements in this file. Session 8: reverted from M1350W / fullSum experiment that caused -27% regression (was +27% with this config, which is conservative).]"
87,87_ORK_PR2.ork,Rocket,ok,M1939W,yes,10460,6.17,146.00,yes,databranch_t0,64.326,yes,97.95,yes,115.28,2.808,stable,tier3,10008,-4.3,10355,N,10240.9,no,1,conical,0.6267,barrowman:0.6267,no,,
